	Significant	X.Log.P.value.	Difference	Majority.protein.IDs	Protein.IDs	Protein.names	Gene.names	id	Fasta.headers	Peptide.counts..all.	Peptide.counts..razor.unique.	Peptide.counts..unique.	Number.of.proteins	Peptides.LM2_WCL_1	Peptides.LM2_WCL_2	Peptides.LM2_WCL_3	Peptides.MDAMB231_WCL_1	Peptides.MDAMB231_WCL_2	Peptides.MDAMB231_WCL_3	Unique.peptides.LM2_WCL_1	Unique.peptides.LM2_WCL_2	Unique.peptides.LM2_WCL_3	Unique.peptides.MDAMB231_WCL_1	Unique.peptides.MDAMB231_WCL_2	Unique.peptides.MDAMB231_WCL_3	Sequence.length	Sequence.lengths	Identification.type.LM2_WCL_1	Identification.type.LM2_WCL_2	Identification.type.LM2_WCL_3	Identification.type.MDAMB231_WCL_1	Identification.type.MDAMB231_WCL_2	Identification.type.MDAMB231_WCL_3	Sequence.coverage.LM2_WCL_1....	Sequence.coverage.LM2_WCL_2....	Sequence.coverage.LM2_WCL_3....	Sequence.coverage.MDAMB231_WCL_1....	Sequence.coverage.MDAMB231_WCL_2....	Sequence.coverage.MDAMB231_WCL_3....	Symbol.color	Symbol.type	Symbol.size	Show.label	Only.identified.by.site	Reverse	Potential.contaminant	Student.s.T.test.Significant.LM2_MDA	Student.s.T.test.significant	Peptides	Razor...unique.peptides	Unique.peptides	Sequence.coverage....	Unique...razor.sequence.coverage....	Unique.sequence.coverage....	Mol..weight..kDa.	Q.value	Score	Student.s.T.test.p.value.LM2_MDA	Student.s.T.test.q.value.LM2_MDA	Student.s.T.test.Difference.LM2_MDA	Student.s.T.test.Test.statistic.LM2_MDA	LFQ.intensity.LM2_WCL_1	LFQ.intensity.LM2_WCL_2	LFQ.intensity.LM2_WCL_3	LFQ.intensity.MDAMB231_WCL_1	LFQ.intensity.MDAMB231_WCL_2	LFQ.intensity.MDAMB231_WCL_3	DEGs	DEPs	namesdep
1738	+	3.81250489871486	6.13240051269531	Q16658	Q16658	Fascin	FSCN1	2564	Fascin OS=Homo sapiens OX=9606 GN=FSCN1 PE=1 SV=3	28	28	28	1	26	26	25	0	3	3	26	26	25	0	3	3	493	493	By MS/MS	By MS/MS	By MS/MS		By MS/MS	By MS/MS	60.4	62.1	62.1	0	10.1	7.7	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	28	28	28	62.1	62.1	62.1	54.529	0	236.1	0.000153990915623618	0.00366386554621849	6.13240051269531	13.9306227282345	30.1057453155518	30.1446723937988	30.9475402832031	23.8035449981689	24.0575504302979	24.939661026001	UP	UP	FSCN1
2333	+	3.73697603253624	4.51866022745768	Q9BUF5	Q9BUF5	Tubulin beta-6 chain	TUBB6	3704	Tubulin beta-6 chain OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1	29	14	14	1	23	28	25	11	13	12	11	14	12	1	2	1	446	446	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	60.1	60.1	56.3	21.5	20.2	18.2	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	29	14	14	64.3	45.3	45.3	49.857	0	226.97	0.000183241554532619	0.00496969696969697	4.51866022745768	13.327543441198	28.968318939209	29.2032642364502	28.2158145904541	24.1535091400146	24.5983924865723	24.0795154571533	UP	UP	TUBB6
696	+	3.25269160034109	4.3055477142334	P21266	P21266	Glutathione S-transferase Mu 3	GSTM3	1138	Glutathione S-transferase Mu 3 OS=Homo sapiens OX=9606 GN=GSTM3 PE=1 SV=3	11	11	9	1	11	10	10	4	2	5	9	8	8	3	1	4	225	225	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	53.8	50.2	49.8	19.1	9.3	27.1	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	11	11	9	53.8	53.8	51.6	26.559	0	31.186	0.000558866914454948	0.00497297297297297	4.3055477142334	10.0144662154227	28.9869594573975	28.8102016448975	28.9465370178223	25.0582103729248	23.7562351226807	25.0126094818115	UP	UP	GSTM3
2305	+	4.32295013552258	4.04010709126791	Q9BQ67	Q9BQ67	Glutamate-rich WD repeat-containing protein 1	GRWD1	3641	Glutamate-rich WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=GRWD1 PE=1 SV=1	3	3	3	1	2	3	2	2	1	1	2	3	2	2	1	1	446	446	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	9.2	11.9	9.2	9.2	5.6	5.6	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	3	3	3	11.9	11.9	11.9	49.419	0	15.025	4.75389805736933e-05	0.00272463768115942	4.04010709126791	18.7598668949031	26.931568145752	26.5403480529785	26.7340202331543	22.9212493896484	22.8322868347168	22.3320789337158	UP	UP	GRWD1
2242	+	2.68639242662115	3.44091606140137	Q96RU3	Q96RU3	Formin-binding protein 1	FNBP1	3549	Formin-binding protein 1 OS=Homo sapiens OX=9606 GN=FNBP1 PE=1 SV=2	13	13	13	1	7	6	5	1	1	1	7	6	5	1	1	1	617	617	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	13.5	12	10.4	2.6	2.6	2.6	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	13	13	13	29.5	29.5	29.5	71.306	0	94.953	0.00205876877794944	0.0110317848410758	3.44091606140137	7.11810114515722	27.0449981689453	27.7221450805664	26.6757297515869	24.2928161621094	23.0114727020264	23.8158359527588	UP	UP	FNBP1
337	+	4.10474144344224	3.40898195902506	O95425	O95425	Supervillin	SVIL	630	Supervillin OS=Homo sapiens OX=9606 GN=SVIL PE=1 SV=2	24	24	24	1	15	18	17	3	3	4	15	18	17	3	3	4	2214	2214	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	11.3	12.9	11.6	2.2	3.1	3	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	24	24	24	17.3	17.3	17.3	247.74	0	85.537	7.85703262635127e-05	0.00244155844155844	3.40898195902506	16.5230550501747	27.8334617614746	27.2840099334717	27.5520820617676	24.4102821350098	24.036994934082	23.9953308105469	UP	UP	SVIL
645	+	2.48382964997417	3.35387166341146	P17252	P17252;P05129	Protein kinase C alpha type	PRKCA	1068	Protein kinase C alpha type OS=Homo sapiens OX=9606 GN=PRKCA PE=1 SV=4	15;2	15;2	11;1	2	13	11	10	0	1	3	9	9	9	0	0	3	672	672;697	By MS/MS	By MS/MS	By MS/MS		By matching	By matching	30.4	25.6	25.7	0	3.1	9.1	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	15	15	11	34.8	34.8	25.3	76.749	0	50.694	0.00328224012235559	0.0118574257425743	3.35387166341146	6.28030077764991	28.1036968231201	27.8059349060059	28.0480155944824	23.7974472045898	24.4941959381104	25.6043891906738	UP	UP	PRKCA
1302	+	3.17086966053851	3.26418431599935	P63172	P63172	Dynein light chain Tctex-type 1	DYNLT1	1950	Dynein light chain Tctex-type 1 OS=Homo sapiens OX=9606 GN=DYNLT1 PE=1 SV=1	2	2	2	1	2	2	2	1	0	1	2	2	2	1	0	1	113	113	By MS/MS	By MS/MS	By MS/MS	By MS/MS		By matching	23	23	23	14.2	0	8.8	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	2	2	2	23	23	23	12.452	0	6.5111	0.00067473049587952	0.00555737704918033	3.26418431599935	9.53810099148982	26.5664520263672	26.5575695037842	26.4352836608887	23.2451820373535	22.6726512908936	23.8489189147949	UP	UP	DYNLT1
1061	+	1.74844818893323	3.24527867635091	P50453	P50453	Serpin B9	SERPINB9	1635	Serpin B9 OS=Homo sapiens OX=9606 GN=SERPINB9 PE=1 SV=1	11	10	9	1	9	9	7	3	1	4	8	8	6	1	0	3	376	376	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	25.5	29.8	21	10.9	2.7	12.8	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	11	10	9	33	30.3	27.1	42.403	0	34.039	0.0178464488288691	0.0315525114155251	3.24527867635091	3.87965851545613	27.5927047729492	27.5110359191895	27.7004146575928	23.5907878875732	23.4539241790771	26.0236072540283	UP	UP	SERPINB9
572	+	1.42552981707337	3.1861203511556	P12109	P12109	Collagen alpha-1(VI) chain	COL6A1	963	Collagen alpha-1(VI) chain OS=Homo sapiens OX=9606 GN=COL6A1 PE=1 SV=3	12	12	12	1	9	10	6	1	1	2	9	10	6	1	1	2	1028	1028	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	14.2	15.6	12.4	1.2	1.2	3.2	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	12	12	12	17.3	17.3	17.3	108.53	0	174.75	0.0375379181423394	0.0479820143884892	3.1861203511556	3.06328611895151	27.5474548339844	28.1278514862061	28.067533493042	24.450403213501	23.1104145050049	26.6236610412598	UP	UP	COL6A1
