	Significant	X.Log.P.value.	Difference	Majority.protein.IDs	Protein.IDs	Protein.names	Gene.names	id	Fasta.headers	Peptide.counts..all.	Peptide.counts..razor.unique.	Peptide.counts..unique.	Number.of.proteins	Peptides.LM2_WCL_1	Peptides.LM2_WCL_2	Peptides.LM2_WCL_3	Peptides.MDAMB231_WCL_1	Peptides.MDAMB231_WCL_2	Peptides.MDAMB231_WCL_3	Unique.peptides.LM2_WCL_1	Unique.peptides.LM2_WCL_2	Unique.peptides.LM2_WCL_3	Unique.peptides.MDAMB231_WCL_1	Unique.peptides.MDAMB231_WCL_2	Unique.peptides.MDAMB231_WCL_3	Sequence.length	Sequence.lengths	Identification.type.LM2_WCL_1	Identification.type.LM2_WCL_2	Identification.type.LM2_WCL_3	Identification.type.MDAMB231_WCL_1	Identification.type.MDAMB231_WCL_2	Identification.type.MDAMB231_WCL_3	Sequence.coverage.LM2_WCL_1....	Sequence.coverage.LM2_WCL_2....	Sequence.coverage.LM2_WCL_3....	Sequence.coverage.MDAMB231_WCL_1....	Sequence.coverage.MDAMB231_WCL_2....	Sequence.coverage.MDAMB231_WCL_3....	Symbol.color	Symbol.type	Symbol.size	Show.label	Only.identified.by.site	Reverse	Potential.contaminant	Student.s.T.test.Significant.LM2_MDA	Student.s.T.test.significant	Peptides	Razor...unique.peptides	Unique.peptides	Sequence.coverage....	Unique...razor.sequence.coverage....	Unique.sequence.coverage....	Mol..weight..kDa.	Q.value	Score	Student.s.T.test.p.value.LM2_MDA	Student.s.T.test.q.value.LM2_MDA	Student.s.T.test.Difference.LM2_MDA	Student.s.T.test.Test.statistic.LM2_MDA	LFQ.intensity.LM2_WCL_1	LFQ.intensity.LM2_WCL_2	LFQ.intensity.LM2_WCL_3	LFQ.intensity.MDAMB231_WCL_1	LFQ.intensity.MDAMB231_WCL_2	LFQ.intensity.MDAMB231_WCL_3	DEGs	DEPs	namesdep
180	+	5.37685942994876	-6.65927632649739	O60218	O60218;C9JRZ8	Aldo-keto reductase family 1 member B10	AKR1B10	393	Aldo-keto reductase family 1 member B10 OS=Homo sapiens OX=9606 GN=AKR1B10 PE=1 SV=2	15;3	15;3	15;3	2	0	0	1	13	13	14	0	0	1	13	13	14	316	316;316			By matching	By MS/MS	By MS/MS	By MS/MS	0	0	3.8	51.9	50.9	56.3	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	15	15	15	56.3	56.3	56.3	36.019	0	198.08	4.19894871262602e-06	0	-6.65927632649739	-34.5260132190792	23.3957595825195	24.0324573516846	23.8816890716553	30.4111461639404	30.4638271331787	30.4127616882324	DOWN	DOWN	AKR1B10
1172	+	3.95417637279439	-6.28474680582682	P56470	P56470	Galectin-4	LGALS4	1779	Galectin-4 OS=Homo sapiens OX=9606 GN=LGALS4 PE=1 SV=1	12	12	12	1	0	1	1	9	9	9	0	1	1	9	9	9	323	323		By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	4.3	5	30.3	30.3	30.7	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	12	12	12	39.6	39.6	39.6	35.941	0	128.73	0.00011112803298319	0.00335483870967742	-6.28474680582682	-15.1337894332219	23.6620464324951	24.8500709533691	23.5897808074951	30.4258232116699	30.3542633056641	30.1760520935059	DOWN	DOWN	LGALS4
636	+	1.75844212727326	-6.02660179138184	P16422	P16422	Epithelial cell adhesion molecule	EPCAM	1057	Epithelial cell adhesion molecule OS=Homo sapiens OX=9606 GN=EPCAM PE=1 SV=2	20	20	20	1	1	2	4	12	10	12	1	2	4	12	10	12	314	314	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	3.5	6.7	11.1	38.5	37.3	37.3	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	20	20	20	51.6	51.6	51.6	34.932	0	323.31	0.0174404574807293	0.0314758620689655	-6.02660179138184	-3.90683095013696	22.3586483001709	26.7298774719238	22.2419967651367	29.9792385101318	28.9593925476074	30.4716968536377	DOWN	DOWN	EPCAM
623	+	3.17573367590679	-5.42413520812988	P15559	P15559	NAD(P)H dehydrogenase [quinone] 1	NQO1	1035	NAD(P)H dehydrogenase [quinone] 1 OS=Homo sapiens OX=9606 GN=NQO1 PE=1 SV=1	12	12	12	1	1	0	1	9	8	9	1	0	1	9	8	9	274	274	By matching		By matching	By MS/MS	By MS/MS	By MS/MS	4.4	0	4.4	26.3	31.4	33.2	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	12	12	12	34.3	34.3	34.3	30.867	0	110.92	0.000667215803124441	0.00558024691358025	-5.42413520812988	-9.56581781611732	24.0861015319824	22.8978233337402	22.3002376556396	28.1997127532959	28.9269962310791	28.429859161377	DOWN	DOWN	NQO1
1056	+	4.04761974552957	-5.39706548055013	P50238	P50238	Cysteine-rich protein 1	CRIP1	1629	Cysteine-rich protein 1 OS=Homo sapiens OX=9606 GN=CRIP1 PE=1 SV=3	3	3	3	1	0	0	0	2	2	2	0	0	0	2	2	2	77	77				By MS/MS	By MS/MS	By MS/MS	0	0	0	53.2	53.2	53.2	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	3	3	3	70.1	70.1	70.1	8.5328	0	126.26	8.96149061835381e-05	0.00229268292682927	-5.39706548055013	-15.981957549927	22.6865615844727	23.1767044067383	22.2672843933105	28.0905323028564	27.7485523223877	28.4826622009277	DOWN	DOWN	CRIP1
903	+	3.84811522186879	-5.11966896057129	P36952	P36952	Serpin B5	SERPINB5	1421	Serpin B5 OS=Homo sapiens OX=9606 GN=SERPINB5 PE=1 SV=2	18	18	18	1	4	6	6	15	14	16	4	6	6	15	14	16	375	375	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	16.5	25.1	20.5	47.2	54.9	54.9	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	18	18	18	59.5	59.5	59.5	42.1	0	323.31	0.000141868108409088	0.00396363636363636	-5.11966896057129	-14.2240250439296	24.4600772857666	25.3279342651367	25.6442737579346	30.3141918182373	30.1345500946045	30.34255027771	DOWN	DOWN	SERPINB5
2491	+	2.81101443403558	-5.11425654093425	Q9HAW8	Q9HAW8	UDP-glucuronosyltransferase 1-10	UGT1A10	3975	UDP-glucuronosyltransferase 1-10 OS=Homo sapiens OX=9606 GN=UGT1A10 PE=1 SV=1	7	7	2	1	0	1	0	4	5	5	0	0	0	1	2	2	530	530		By matching		By MS/MS	By MS/MS	By MS/MS	0	1.9	0	8.3	14.9	12.6	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	7	7	2	16.6	16.6	6.6	59.809	0	17.153	0.0015452030829409	0.00956232686980609	-5.11425654093425	-7.68075209009807	22.1099834442139	22.185209274292	24.041805267334	27.7755527496338	28.3017768859863	27.6024379730225	DOWN	DOWN	UGT1A10
2296	+	2.72588507994572	-5.08379554748535	Q99959	Q99959	Plakophilin-2	PKP2	3628	Plakophilin-2 OS=Homo sapiens OX=9606 GN=PKP2 PE=1 SV=2	48	48	48	1	6	4	10	28	26	28	6	4	10	28	26	28	881	881	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.8	4.9	16.1	29.2	34.2	38.4	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	48	48	48	48.1	48.1	48.1	97.414	0	323.31	0.00187981417464808	0.0108223350253807	-5.08379554748535	-7.29231505940508	23.1595859527588	24.3608493804932	25.4660034179688	29.6728496551514	29.0057640075684	29.559211730957	DOWN	DOWN	PKP2
1493	+	3.75421115936682	-5.03279240926107	Q13126	Q13126	S-methyl-5-thioadenosine phosphorylase	MTAP	2221	S-methyl-5-thioadenosine phosphorylase OS=Homo sapiens OX=9606 GN=MTAP PE=1 SV=2	7	7	7	1	0	0	1	6	7	6	0	0	1	6	7	6	283	283			By matching	By MS/MS	By MS/MS	By MS/MS	0	0	3.5	37.5	41.3	37.5	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	7	7	7	41.3	41.3	41.3	31.236	0	63.486	0.000176111956002528	0.00504615384615385	-5.03279240926107	-13.4629029495559	23.4798183441162	23.8111553192139	24.7097415924072	28.9477920532227	29.1694469451904	28.9818534851074	DOWN	DOWN	MTAP
626	+	5.18854659425331	-5.01369158426921	P15924	P15924	Desmoplakin	DSP	1039	Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3	101	101	101	1	14	16	20	64	66	68	14	16	20	64	66	68	2871	2871	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	5.1	6.7	8.1	29.7	29.7	29.8	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	101	101	101	43	43	43	331.77	0	323.31	6.47818588876324e-06	0	-5.01369158426921	-30.9685760798286	25.8142852783203	26.3589744567871	26.1717681884766	31.1774768829346	31.0882205963135	31.1204051971436	DOWN	DOWN	DSP
